"full_id","num_season","year_2season","num_inactive","start_month_mode_seasonPrim","end_month_mode_seasonPrim","peak_month_mode_seasonPrim","dur_day_mean_seasonPrim","dur_day_median_seasonPrim","amp_mean_seasonPrim","start_month_mode_seasonSec","end_month_mode_seasonSec","peak_month_mode_seasonSec","dur_day_mean_seasonSec","dur_day_median_seasonSec","amp_mean_seasonSec","superficie","osm_id","comm_fkt"
"w681899352",5,0,0,6,5,11,357.75,366,23.6995985933103,NA,NA,NA,NA,NA,NA,18606.59,681899352,"RANOMAFANA_AMPASIMPOTSY"
"w682051171",5,0,2,8,4,12,191.5,191.5,5.38236000363161,NA,NA,NA,NA,NA,NA,1303.074,NA,NA
"w682051172",6,1,1,4,12,8,388,279,20.3861541137282,12,5,3,166,166,5.44357272970068,4594.208,682051172,"RANOMAFANA_AMPASIMPOTSY"
"w682051173",8,1,1,4,1,7,269.2,258,14.2006087748274,1,6,4,167,167,4.4399796222452,1723.781,NA,NA
"w682110515",5,0,0,4,5,9,368.4,342,18.0102931585747,NA,NA,NA,NA,NA,NA,5222.613,682110515,"RANOMAFANA_AMPASIMPOTSY"
"w682110516",6,1,0,6,6,10,329.75,342,15.9392625325101,12,6,3,182,182,20.3469298610018,104068.6,682110516,"RANOMAFANA_AMPASIMPOTSY"
"w682110517",6,1,1,5,1,9,284.5,279,4.11180197684545,1,1,5,363,363,2.36510853502442,1452.028,NA,NA
"w682110518",6,0,0,5,4,11,359,329,13.6098644970525,NA,NA,NA,NA,NA,NA,3169.196,682110518,"RANOMAFANA_AMPASIMPOTSY"
"w682112048",7,0,2,5,6,1,290.4,258,15.4286303727705,NA,NA,NA,NA,NA,NA,15215.57,682112048,"RANOMAFANA_AMPASIMPOTSY"
"w682112049",7,0,2,6,2,9,284.25,299.5,12.0976302340639,NA,NA,NA,NA,NA,NA,613.4785,NA,NA
"w682112050",8,0,2,4,4,9,314.2,335,13.0266808396977,NA,NA,NA,NA,NA,NA,762.056,NA,NA
"w682114516",7,1,2,5,2,10,294.4,300,17.4716094665945,1,7,5,174,174,6.4002634552934,4723.077,682114516,"RANOMAFANA_AMPASIMPOTSY"
"w682114518",7,0,1,1,1,8,342,356,20.350252392666,NA,NA,NA,NA,NA,NA,14910.56,682114518,"RANOMAFANA_AMBODIAVIAVY"
"w682114524",6,0,2,2,1,7,365,320,26.0346541578232,NA,NA,NA,NA,NA,NA,1198.541,NA,NA
"w682114531",7,1,2,11,8,4,308.5,317,7.24781468160971,8,4,11,231,231,16.3296076405453,816.2783,NA,NA
"w682114532",8,0,2,5,12,9,301.2,285,9.07743411600136,NA,NA,NA,NA,NA,NA,38337.04,682114532,"RANOMAFANA_AMBODIAVIAVY"
"w682114533",7,2,1,6,2,9,342,315,10.137820355739,2,12,6,334.5,334.5,8.75767315296961,3338.361,682114533,"RANOMAFANA_AMBODIAVIAVY"
"w682114534",8,1,1,3,11,8,311.4,292,9.2972119439237,11,5,2,175,175,3.68297725443977,2372.347,682114534,"RANOMAFANA_AMBODIAVIAVY"
"w682114535",5,0,0,3,4,8,368.25,353,9.67273619539556,NA,NA,NA,NA,NA,NA,5902.771,682114535,"RANOMAFANA_AMBODIAVIAVY"
"w682350538",8,2,0,6,6,11,300.2,349,31.0218456782042,12,6,3,174,174,29.6740934964897,17783.49,682350538,"MAROTOKO_AMBARIJATSY"
"w682350539",7,1,0,6,6,12,310,364,29.5355600921725,12,6,3,180,180,29.1945409910024,46665.97,682350539,"MAROTOKO_AMBARIJATSY"
"w682350540",9,1,2,6,2,10,270.6,251,19.4665980422423,12,6,3,175,175,16.1018219471865,39241.01,682350540,"MAROTOKO_AMBARIJATSY"
"w682352222",7,1,1,1,2,8,340,335,12.7042648625488,2,10,6,259,259,11.2325827066871,1853.8,NA,NA
"w682352233",7,0,1,12,11,4,320.6,300,11.8261403564484,NA,NA,NA,NA,NA,NA,4084.243,682352233,"MAROTOKO_AMBARIJATSY"
"w682352235",5,0,0,5,1,9,361.25,360,19.3929640339049,NA,NA,NA,NA,NA,NA,2794.583,682352235,"MAROTOKO_AMBARIJATSY"
"w682354844",6,1,0,6,6,11,326.75,356.5,23.2480964873487,12,6,2,180,180,21.8024841802816,70947.74,682354844,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682354847",5,0,0,5,4,11,457.25,376.5,11.9184748058875,NA,NA,NA,NA,NA,NA,4477.761,682354847,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682354851",7,1,0,6,6,9,318,314,19.982469486145,1,8,4,209,209,5.85539434114333,3099.693,682354851,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682354853",8,0,2,6,1,10,305.8,293,14.7967647089488,NA,NA,NA,NA,NA,NA,8811.929,682354853,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682354854",10,4,0,7,12,10,209.6,174,27.1316618357009,12,7,3,201.5,198,26.0548710840414,3134.888,682354854,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682354857",7,1,0,7,7,2,309.6,349,34.6095104315039,12,6,3,188,188,17.2858499782914,49555.1,682354857,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682355760",6,0,1,5,5,12,344,356.5,15.4614374479162,NA,NA,NA,NA,NA,NA,1516.474,NA,NA
"w682355970",7,1,1,6,6,10,308.5,338,24.6063907545834,12,7,3,202,202,18.7903457943923,32699.15,682355970,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682355977",6,1,1,5,3,11,315.75,290.5,5.70979984379616,3,9,6,188,188,1.90758022127093,1647.719,NA,NA
"w682355980",6,0,0,7,7,11,351.8,356,23.1707591090245,NA,NA,NA,NA,NA,NA,937.9387,NA,NA
"w682356125",7,1,1,11,9,6,364.666666666667,363,23.5390521966369,9,3,12,174,174,10.8588082511734,1208.396,NA,NA
"w682357889",8,2,2,4,12,8,265.333333333333,266,18.4120796377227,12,2,6,286.5,286.5,19.6504478851662,2639.078,682357889,"TSARATANANA_AMBATOHARANANAKELY"
"w682357890",4,0,0,4,6,10,383.666666666667,391,25.409986285262,NA,NA,NA,NA,NA,NA,5540.287,682357890,"TSARATANANA_AMBATOHARANANAKELY"
"w682358072",7,1,0,7,3,1,315,293,8.0925384334624,1,7,5,182,182,3.36603484214468,1183.261,NA,NA
"w682358073",6,0,1,5,5,10,342.25,370.5,12.2384254224863,NA,NA,NA,NA,NA,NA,11495.72,682358073,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682358081",6,0,1,5,5,11,338.5,328.5,40.1293856132352,NA,NA,NA,NA,NA,NA,868.5541,NA,NA
"w682358082",5,0,0,5,7,2,376.75,373,18.3783961911824,NA,NA,NA,NA,NA,NA,2586.814,682358082,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682358096",5,0,0,5,4,3,369.75,345.5,18.3637579497882,NA,NA,NA,NA,NA,NA,6773.829,682358096,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682358097",7,0,1,6,1,11,340.6,370,10.4806996229116,NA,NA,NA,NA,NA,NA,8529.299,682358097,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682358098",6,0,1,3,1,10,345.75,328.5,27.2886403589113,NA,NA,NA,NA,NA,NA,2028.342,682358098,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682358101",6,0,1,5,3,10,415.25,394.5,14.4266496715193,NA,NA,NA,NA,NA,NA,2509.921,682358101,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682358109",8,0,2,6,1,10,299.8,272,26.1359697719861,NA,NA,NA,NA,NA,NA,2469.728,682358109,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682358615",6,0,0,3,6,9,357.4,357,6.686335755188,NA,NA,NA,NA,NA,NA,3905.087,682358615,"TSARATANANA_AMBATOHARANANAKELY"
"w682358616",8,2,0,4,4,8,277.6,280,10.7761090601506,12,6,3,219.5,219.5,6.80301250704552,6182.021,682358616,"TSARATANANA_AMBATOHARANANAKELY"
"w682359771",8,0,2,9,8,5,289.833333333333,328.5,21.0856715266873,NA,NA,NA,NA,NA,NA,762.5655,NA,NA
"w682359772",8,2,0,10,7,1,264.5,233,35.1130733323569,4,9,6,196,196,39.0109490995796,603.331,NA,NA
"w682359783",5,0,0,3,3,11,366.75,377,24.0949989221374,NA,NA,NA,NA,NA,NA,746.4334,NA,NA
"w682359784",6,0,0,6,5,10,336.4,341,13.9572352138324,NA,NA,NA,NA,NA,NA,4285.719,682359784,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682359785",8,0,2,5,5,10,309.2,342,18.6654430736822,NA,NA,NA,NA,NA,NA,9974.532,682359785,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682359794",10,2,2,6,1,9,231.4,215,23.8248026268193,12,7,3,198.5,198.5,22.6335564948975,10738.96,682359794,"ANDRORANGAVOLA_AMBOHIMISAFY"
"w682359796",7,1,0,6,6,10,310,364,14.7674947644908,12,6,3,174,174,15.0225050613972,25243.88,682359796,"ANDRORANGAVOLA_AMBOHIMISAFY"
"w682359876",6,0,1,6,2,10,336.6,348,9.75194563716614,NA,NA,NA,NA,NA,NA,2286.226,682359876,"TSARATANANA_AMBATOHARANANAKELY"
"w682359877",7,0,1,6,6,12,318,327,19.7466799170804,NA,NA,NA,NA,NA,NA,4437.519,682359877,"TSARATANANA_AMBATOHARANANAKELY"
"w682360398",7,1,1,6,6,10,304,315,28.0306119922675,12,6,3,175,175,18.8759220469554,16610.65,682360398,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682360411",6,0,0,6,6,3,335,384,21.4187585721427,NA,NA,NA,NA,NA,NA,817.0002,NA,NA
"w682360412",6,1,0,6,3,9,323,328,34.9990511647433,12,6,3,173,173,26.9203796024306,3079.739,682360412,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682360413",7,2,0,6,6,10,383.75,293,25.2577494686297,12,6,3,160.5,160.5,17.0214555605895,13468.2,682360413,"ANDRORANGAVOLA_LAVAKIANJA SUD"
"w682360934",6,0,0,6,6,1,363,350,16.8679804399232,NA,NA,NA,NA,NA,NA,45238.21,682360934,"TSARATANANA_AMBATOHARANANAKELY"
"w682360935",9,1,2,6,2,10,294.4,294,14.6234727560244,1,6,3,145,145,6.29266117317648,39202.36,682360935,"TSARATANANA_AMBATOHARANANAKELY"
"w682360968",7,0,1,11,6,3,341.6,293,22.0852064011293,NA,NA,NA,NA,NA,NA,1834.585,NA,NA
"w682360969",7,0,1,6,4,11,336.6,329,17.5211531303486,NA,NA,NA,NA,NA,NA,3607.764,682360969,"TSARATANANA_AMBATOHARANANAKELY"
"w682360970",7,0,1,3,4,9,329.4,370,7.99407274758235,NA,NA,NA,NA,NA,NA,700.4616,NA,NA
"w682360971",6,0,2,4,12,10,323.6,300,12.1125216525146,NA,NA,NA,NA,NA,NA,3656.769,682360971,"TSARATANANA_AMBATOHARANANAKELY"
"w682360972",5,0,0,5,7,1,377,370.5,16.4859029865329,NA,NA,NA,NA,NA,NA,4618.46,682360972,"TSARATANANA_AMBATOHARANANAKELY"
"w682361694",7,0,2,6,2,10,329.8,336,18.9389311735287,NA,NA,NA,NA,NA,NA,2496.037,682361694,"ANDRORANGAVOLA_AMBOHIMISAFY"
"w682361695",5,0,1,4,2,9,486,579,13.5962454027254,NA,NA,NA,NA,NA,NA,4054.678,682361695,"MAROTOKO_MANDIAFASINA"
"w682361696",5,0,0,6,6,11,370,366.5,23.0954420972725,NA,NA,NA,NA,NA,NA,14701.35,682361696,"ANDRORANGAVOLA_AMBOHIMISAFY"
"w682361703",8,0,3,1,1,9,345.25,320.5,18.4452375164121,NA,NA,NA,NA,NA,NA,565.2989,NA,NA
"w682361704",9,2,1,6,12,10,263.8,189,29.0440762087353,12,6,3,177,177,23.3328066650192,8614.09,682361704,"MAROTOKO_MANDIAFASINA"
