"full_id","num_season","year_2season","num_inactive","start_month_mode_seasonPrim","end_month_mode_seasonPrim","peak_month_mode_seasonPrim","dur_day_mean_seasonPrim","dur_day_median_seasonPrim","amp_mean_seasonPrim","start_month_mode_seasonSec","end_month_mode_seasonSec","peak_month_mode_seasonSec","dur_day_mean_seasonSec","dur_day_median_seasonSec","amp_mean_seasonSec","superficie","osm_id","comm_fkt"
"w669056099",7,0,1,5,3,9,323.6,335,45.5904609185866,NA,NA,NA,NA,NA,NA,589.102361848,NA,NA
"w669056116",9,2,1,6,2,10,240.4,244,26.9978396141681,2,7,4,159,159,19.9608620349303,15562.6236008,669056116,"AMBOHIMIERA_VOHIMENA"
"w669056117",5,0,0,4,6,9,373,363,25.4017982491708,NA,NA,NA,NA,NA,NA,8147.55358201,669056117,"AMBOHIMIERA_VOHIMENA"
"w669056272",7,1,0,4,4,10,311.4,307,18.3446857013522,1,10,6,272,272,14.9391002911609,2529.25975688,669056272,"AMBOHIMIERA_VOHIMENA"
"w669058189",7,2,1,6,1,3,284.25,279,56.8698089155961,1,6,3,152.5,152.5,32.3194277670391,3417.70573969,669058189,"TSARATANANA_ANALAMARINA"
"w669058190",7,0,1,5,4,10,333.4,343,34.5940706543554,NA,NA,NA,NA,NA,NA,973.251816016,NA,NA
"w669058192",7,3,0,6,2,10,359.25,300,33.7444149757976,2,6,3,141.333333333333,132,11.4671458358334,15981.8936958,669058192,"TSARATANANA_SANDRAKELY"
"w669058193",7,0,1,3,1,10,343.2,335,16.5856788375766,NA,NA,NA,NA,NA,NA,5228.89890529,669058193,"TSARATANANA_SANDRAKELY"
"w669058194",6,0,0,4,6,10,378.2,419,32.8620963504574,NA,NA,NA,NA,NA,NA,3674.75081758,669058194,"TSARATANANA_SANDRAKELY"
"w669058195",8,2,1,5,2,10,279,273,24.209402081066,2,6,4,160.5,160.5,9.44214371384626,2948.57184226,669058195,"TSARATANANA_SANDRAKELY"
"w669058196",9,2,2,6,1,10,269,258,38.1371851849978,12,6,3,174.5,174.5,36.8730017563064,1633.85505142,NA,NA
"w669058197",6,0,0,3,3,10,367.2,342,21.3431920051446,NA,NA,NA,NA,NA,NA,435.551025038,NA,NA
"w669058198",6,0,1,5,5,9,346,300,28.0499945021084,NA,NA,NA,NA,NA,NA,2961.55915366,669058198,"TSARATANANA_SANDRAKELY"
"w669058199",5,0,1,5,4,11,360.2,348,16.3072067094728,NA,NA,NA,NA,NA,NA,2227.15373503,669058199,"TSARATANANA_SANDRAKELY"
"w669059553",6,0,1,1,2,10,382.5,370,20.3545657891936,NA,NA,NA,NA,NA,NA,2187.96656948,669059553,"TSARATANANA_ANALAMARINA"
"w669059567",7,0,1,4,2,9,332.4,314,16.1592444827361,NA,NA,NA,NA,NA,NA,13171.8576209,669059567,"TSARATANANA_SANDRAKELY"
"w669059568",5,0,1,4,3,10,353,363,31.6849739551849,NA,NA,NA,NA,NA,NA,3645.95093739,669059568,"TSARATANANA_SANDRAKELY"
"w669059980",6,0,1,4,1,1,338.25,341.5,12.9645251113285,NA,NA,NA,NA,NA,NA,19251.9095544,669059980,"RANOMAFANA_SAHANDRAZANA"
"w669059981",5,0,0,4,5,1,370.25,374,15.7031634238526,NA,NA,NA,NA,NA,NA,10145.8698253,669059981,"RANOMAFANA_SAHANDRAZANA"
"w669059982",8,1,1,4,4,10,278.8,278,16.1982522130136,2,10,6,252,252,14.2537706648572,1874.37670617,NA,NA
"w669059983",10,3,1,5,10,8,208.8,159,18.3213840700361,10,5,2,221,203,32.2219279885243,28179.7382149,669059983,"KELILALINA_AMBALADINGANA"
"w669060374",6,1,0,3,3,10,322.2,334,23.7006549906874,12,7,3,210,210,12.8454148246609,3965.91853994,669060374,"TSARATANANA_ANALAMARINA"
"w669060382",6,0,1,4,3,10,357.4,342,37.6419196176502,NA,NA,NA,NA,NA,NA,3727.60302456,669060382,"TSARATANANA_SANDRAKELY"
"w669061332",6,0,0,3,3,10,347.8,348,36.7303259571502,NA,NA,NA,NA,NA,NA,598.33151589,NA,NA
"w669061336",6,1,0,4,4,7,321.2,328,8.60396122894808,10,5,1,209,209,2.08649932722916,664.360037722,NA,NA
"w669061343",8,0,2,4,4,10,324.8,306,22.0819165071019,NA,NA,NA,NA,NA,NA,2735.79179592,669061343,"TSARATANANA_AMBOHINIHAONANA"
"w669063145",7,0,1,1,2,10,308.2,321,10.4173360207737,NA,NA,NA,NA,NA,NA,600.262215107,NA,NA
"w669063146",6,0,0,5,5,10,353.2,363,29.2865023557819,NA,NA,NA,NA,NA,NA,768.353242794,NA,NA
"w669063153",6,0,1,5,1,9,391,377,20.2783185364885,NA,NA,NA,NA,NA,NA,1584.9483892,NA,NA
"w669063154",5,1,3,6,2,11,290.5,290.5,7.56465207935822,2,8,4,181,181,1.59623885969649,863.47361623,NA,NA
"w669063155",7,1,1,6,5,12,291.25,285.5,13.6368908728772,1,7,4,202,202,8.43132614532435,1009.78300631,NA,NA
"w669063156",4,0,2,7,2,10,219.5,219.5,11.6366223551203,NA,NA,NA,NA,NA,NA,1869.1374947,NA,NA
"w669063157",7,0,2,4,3,9,346.4,322,18.7257690242487,NA,NA,NA,NA,NA,NA,1047.50504632,NA,NA
"w669063158",6,0,1,5,6,12,368.5,356.5,20.2452492177694,NA,NA,NA,NA,NA,NA,30502.6799304,669063158,"TSARATANANA_AMBOHINIHAONANA"
"w669063178",6,0,1,5,5,11,339.2,307,12.3424459308165,NA,NA,NA,NA,NA,NA,5728.67420485,669063178,"TSARATANANA_AMBOHINIHAONANA"
"w669063279",6,0,1,5,6,12,338.5,352.5,12.2771277812493,NA,NA,NA,NA,NA,NA,86694.5527345,669063279,"AMBIABE_SAHAVATANA"
"w669063280",8,2,0,6,6,9,251.2,237,20.7075205824559,12,9,4,209,209,29.2108958357456,3073.14967965,669063280,"KELILALINA_AMBALADINGANA"
"w669063281",5,0,1,5,5,11,412.25,419.5,21.7955072252451,NA,NA,NA,NA,NA,NA,4389.14639993,669063281,"AMBIABE_SAHAVATANA"
"w669063283",7,0,1,5,12,10,331,348,18.7962019730505,NA,NA,NA,NA,NA,NA,1552.29920915,NA,NA
"w669066443",6,1,1,6,6,9,352.25,370,20.2490942811606,3,9,6,195,195,11.4486171320469,5803.29190907,669066443,"AMBIABE_SAHAVATANA"
"w669066445",7,0,1,5,2,10,326.8,321,8.02525701386215,NA,NA,NA,NA,NA,NA,3191.9483508,669066445,"AMBIABE_SAHAVATANA"
"w669066447",7,1,1,5,12,7,298.25,317.5,10.2291627365135,10,4,1,182,182,12.1770758145152,32141.3510254,669066447,"AMBIABE_SAHAVATANA"
"w669066453",8,2,0,6,1,10,315.2,349,36.3736879608584,2,6,4,146,146,16.3026094269443,5302.34394797,669066453,"RANOMAFANA_SAHANDRAZANA"
"w669066456",7,1,2,1,6,4,249.5,258,15.3702134070458,3,9,6,181,181,5.27742167134875,2764.45502461,669066456,"AMBIABE_SAHAVATANA"
"w669066458",6,0,0,4,2,9,346.4,321,30.4323308154104,NA,NA,NA,NA,NA,NA,3772.06248602,669066458,"AMBIABE_SAHAVATANA"
"w669066460",7,2,1,3,12,8,284.25,233.5,18.9594497679845,12,1,6,310,310,24.0680538398588,4096.11530834,669066460,"AMBIABE_SAHAVATANA"
"w669066462",5,0,0,4,4,9,364.75,370.5,15.808538103444,NA,NA,NA,NA,NA,NA,21982.450648,669066462,"AMBIABE_SAHAVATANA"
"w669066469",8,0,2,6,6,2,295.6,313,6.70297594414737,NA,NA,NA,NA,NA,NA,9202.8495517,669066469,"RANOMAFANA_SAHANDRAZANA"
"w669073273",7,0,1,3,3,8,328.2,328,5.77927240656646,NA,NA,NA,NA,NA,NA,1818.36031101,NA,NA
"w669073275",8,1,1,4,6,8,264.8,244,18.791011060976,12,5,2,167,167,17.5823719146777,16879.3132583,669073275,"AMBIABE_AMBINANINDRANOTELO"
"w669073276",6,0,1,4,3,11,316,293.5,8.24073739027128,NA,NA,NA,NA,NA,NA,3084.54013493,669073276,"AMBIABE_AMBINANINDRANOTELO"
"w669073277",7,0,1,5,3,9,336.2,328,20.0816387495714,NA,NA,NA,NA,NA,NA,1763.40935379,NA,NA
"w669073278",7,1,1,6,6,10,262.8,216,26.1882091249785,12,6,3,173,173,30.509969982584,16740.4797539,669073278,"AMBIABE_AMBINANINDRANOTELO"
"w669073279",7,0,1,6,6,11,341.6,349,14.5120210602897,NA,NA,NA,NA,NA,NA,16566.4218548,669073279,"AMBIABE_AMBINANINDRANOTELO"
"w669073280",7,1,1,5,4,10,307.2,328,12.9047165303611,1,8,5,216,216,4.13146148828514,2063.29690545,669073280,"AMBIABE_AMBINANINDRANOTELO"
"w669073281",6,0,0,5,5,1,330.8,350,10.7777921920612,NA,NA,NA,NA,NA,NA,25965.1934342,669073281,"AMBIABE_AMBINANINDRANOTELO"
"w669073282",5,0,0,3,4,9,371.4,343,33.218288221565,NA,NA,NA,NA,NA,NA,2283.40644289,669073282,"AMBIABE_AMBINANINDRANOTELO"
"w669074509",5,0,0,4,4,11,392.75,377,51.7449527951782,NA,NA,NA,NA,NA,NA,1911.14364526,NA,NA
"w669074510",5,0,0,4,1,8,366.25,393.5,26.5360865291322,NA,NA,NA,NA,NA,NA,8608.40053859,669074510,"AMBOHIMIERA_AMBOHIMILANJA"
"w669074511",5,0,0,5,5,11,355.75,376.5,27.2594971752359,NA,NA,NA,NA,NA,NA,43052.4957395,669074511,"AMBOHIMIERA_AMBOHIMILANJA"
"w669074512",6,0,0,5,3,10,359,349,23.0465811834703,NA,NA,NA,NA,NA,NA,15678.4189021,669074512,"AMBOHIMIERA_AMBOHIMILANJA"
"w669074513",8,1,1,3,3,8,311.4,328,19.6876328490272,12,5,3,153,153,5.16494289749398,3695.90848807,669074513,"AMBOHIMIERA_AMBOHIMILANJA"
